index,case_id,gold_label,raw_precision_percent,raw_recall_percent,raw_f1_percent,raw_detect,raw_predicted_hallucination,raw_spans_console,dual_precision_percent,dual_recall_percent,dual_f1_percent,dual_detect,dual_predicted_hallucination,dual_spans_console,running_raw_micro_f1_percent,running_dual_micro_f1_percent
1,13433,clean,100.0,100.0,100.0,OK,False,[none],100.0,100.0,100.0,OK,False,[none],100.0,100.0
2,17280,clean,100.0,100.0,100.0,OK,False,[none],100.0,100.0,100.0,OK,False,[none],100.0,100.0
3,15458,clean,0.0,0.0,0.0,MISS,True,[530:541] 'distinctive' (unsupported),100.0,100.0,100.0,OK,False,[none],0.0,100.0
4,16933,clean,100.0,100.0,100.0,OK,False,[none],100.0,100.0,100.0,OK,False,[none],0.0,100.0
5,14510,clean,100.0,100.0,100.0,OK,False,[none],100.0,100.0,100.0,OK,False,[none],0.0,100.0
6,14282,clean,0.0,0.0,0.0,MISS,True,[0:41] 'Unable to answer based on given passages.' (contradiction),100.0,100.0,100.0,OK,False,[none],0.0,100.0
7,14099,clean,100.0,100.0,100.0,OK,False,[none],100.0,100.0,100.0,OK,False,[none],0.0,100.0
8,13039,clean,0.0,0.0,0.0,MISS,True,"[117:156] 'tap on Storage, then Factory data reset' (unsupported)",100.0,100.0,100.0,OK,False,[none],0.0,100.0
9,12133,clean,0.0,0.0,0.0,MISS,True,"[206:217] 'Optionally,' (unsupported)",100.0,100.0,100.0,OK,False,[none],0.0,100.0
10,12216,clean,100.0,100.0,100.0,OK,False,[none],100.0,100.0,100.0,OK,False,[none],0.0,100.0
11,15485,hallucinated,65.22,46.05,53.98,OK,True,"[155:211] 'does not support or condone the use of third-party apps,' (unsupported); [625:645] 'change your password' (unsupported); [675:713] 'the latest version of the Snapchat app' (unsupported); [787:834] 'contact Snapchat support for further assistance' (unsupported)",0.0,0.0,0.0,MISS,False,[none],42.77,0.0
12,14052,clean,100.0,100.0,100.0,OK,False,[none],100.0,100.0,100.0,OK,False,[none],42.77,0.0
13,13915,clean,100.0,100.0,100.0,OK,False,[none],100.0,100.0,100.0,OK,False,[none],42.77,0.0
14,12604,clean,0.0,0.0,0.0,MISS,True,"[96:110] 'or ""harvester""' (contradiction); [126:153] 'In Greek, it means ""reaper""' (unsupported)",0.0,0.0,0.0,MISS,True,"[99:110] '""harvester""' (unsupported)",39.47,0.0
15,12067,clean,100.0,100.0,100.0,OK,False,[none],100.0,100.0,100.0,OK,False,[none],39.47,0.0
